Transaction_ID,Date,Region,Category,Product,Quantity,Unit_Price,Total_Sales
TXN-1071,2026-03-12,East,Electronics,Laptop,6,186.15,1116.9
TXN-1072,2026-03-13,East,Sports,Dumbbell Set,3,135.54,406.62
TXN-1073,2026-03-14,South,Sports,Running Shoes,7,255.74,1790.18
TXN-1074,2026-03-15,North,Sports,Running Shoes,8,353.96,2831.68
TXN-1075,2026-03-16,East,Books,Biography,2,56.05,112.1
TXN-1076,2026-03-17,South,Home & Kitchen,Coffee Maker,6,299.51,1797.06
TXN-1077,2026-03-18,South,Electronics,Smartwatch,6,158.6,951.6
TXN-1078,2026-03-19,North,Home & Kitchen,Cookware Set,1,415.66,415.66
TXN-1079,2026-03-20,West,Books,Cookbook,5,234.06,1170.3
TXN-1080,2026-03-21,West,Sports,Running Shoes,3,322.34,967.02
TXN-1081,2026-03-22,North,Books,Cookbook,2,262.99,525.98
TXN-1082,2026-03-23,West,Home & Kitchen,Coffee Maker,3,225.1,675.3
TXN-1083,2026-03-24,South,Clothing,T-Shirt,5,49.63,248.15
TXN-1084,2026-03-25,North,Electronics,Smartwatch,1,94.91,94.91
TXN-1085,2026-03-26,South,Electronics,Headphones,6,360.15,2160.9
TXN-1086,2026-03-27,North,Sports,Yoga Mat,7,331.98,2323.86
TXN-1087,2026-03-28,North,Sports,Dumbbell Set,7,33.38,233.66
TXN-1088,2026-03-29,East,Clothing,Sneakers,5,68.88,344.4
TXN-1089,2026-03-30,West,Sports,Dumbbell Set,5,56.14,280.7
TXN-1090,2026-03-31,West,Books,Fiction Novel,5,242.0,1210.0
TXN-1091,2026-04-01,South,Electronics,Smartphone,5,205.27,1026.35
TXN-1092,2026-04-02,North,Clothing,Jeans,4,32.2,128.8
TXN-1093,2026-04-03,East,Clothing,Jeans,1,274.29,274.29
TXN-1094,2026-04-04,West,Sports,Running Shoes,8,472.51,3780.08
TXN-1095,2026-04-05,West,Clothing,T-Shirt,4,291.98,1167.92
TXN-1096,2026-04-06,West,Clothing,Jacket,1,234.54,234.54
TXN-1097,2026-04-07,North,Home & Kitchen,Air Fryer,3,412.01,1236.03
TXN-1098,2026-04-08,West,Clothing,Jacket,2,29.09,58.18
TXN-1099,2026-04-09,East,Clothing,Jacket,1,331.3,331.3
TXN-1100,2026-04-10,South,Sports,Dumbbell Set,2,137.74,275.48
